PREC = 250, tol = 6.912973e-310
order = 4, lambda = 3.5440903595519228536159659866048045405830998454445736754578125303058429428599e+00 
order = 8, lambda = 3.5644072660954325977735575865289824506577347383790085577414763351823320042998e+00 
order = 16, lambda = 3.5687594195438264312982102800253153703569938395807820794068319550800409766197e+00 
order = 32, lambda = 3.5696916098013967142882687062954666071865704082915178154173263034781558353144e+00 
order = 64, lambda = 3.5698912593781204873202712005854493897958251233744178040332747345535797760995e+00 
order = 128, lambda = 3.5699340183739764011848556018871913712192830120006229076803415963418759683412e+00 
order = 256, lambda = 3.5699431760484016363544429761623177495408066656406203061183785185977720995073e+00 
order = 512, lambda = 3.5699451373421697943147211227495309186913241878502638893011857010516107072186e+00 
order = 1024, lambda = 3.5699455573912493761171699417562083801144639574297469970150925484120416447438e+00 
order = 2048, lambda = 3.5699456473528997913435066537603367221593798899038989898094257564401975348662e+00 
order = 4096, lambda = 3.5699456666199304521939437011511336434689984578374828744297717286777720681093e+00 
order = 8192, lambda = 3.5699456707463384081449671619676145728853822035914206792540825370969733099902e+00 
order = 16384, lambda = 3.5699456716300886296434152915461480562489363973177032398525013661549660322953e+00 
order = 32768, lambda = 3.5699456718193608640635302435488345850536714403071658465353887745986170094328e+00 
order = 65536, lambda = 3.5699456718598971806046228347280448095599385845604364100551526078399582591231e+00 
order = 131072, lambda = 3.5699456718685788182666364326919574061497171543911562165141986889484715581646e+00 
